N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
8,4,Standard QAOA,3.0,47,0.0,True,N_scaling,94.50738039404602,0.0,0.0,2.351951949713781,0.5911471953039968,0.33377219999965746,-0.1727303676515245
8,4,XY-QAOA,3.0,47,,True,N_scaling,100.0,22.168619665624558,22.168619665624558,1.8303775421067507,0.5066847500749309,0.31844550000096206,-0.13443842939982303
8,4,XY-QAOA Regularized,3.0,47,0.0,True,N_scaling,99.99999999999994,22.168619665624558,22.168619665624558,1.8303775421067507,0.5066847500749309,0.32273800000257324,-0.13443842939982303
8,4,Gurobi,,48,,True,N_scaling,100.0,0.0,0.0,2.6294139378726866,0.5807138122473282,0.004115000003366731,-0.16257825241349724
8,4,Simulated Annealing,,48,,True,N_scaling,100.0,0.0,0.0,2.6294139378726866,0.5807138122473282,0.01783850000356324,-0.16257825241349724
8,4,Standard QAOA,3.0,48,0.0,True,N_scaling,74.36390264260145,0.0,0.0,2.6294139378726866,0.5807138122473282,0.3303310000046622,-0.16257825241349724
8,4,XY-QAOA,3.0,48,,True,N_scaling,100.0,33.5954637754795,33.5954637754795,1.7794876124954395,0.48486795645467107,0.31937610000022687,-0.10795933451711315
8,4,XY-QAOA Regularized,3.0,48,0.0,True,N_scaling,99.99999999999993,8.291297131503525,8.291297131503525,2.446684388214071,0.6688873378764165,0.3194247999927029,-0.14909840643468839
8,4,Gurobi,,49,,True,N_scaling,100.0,0.0,0.0,2.6756217372733313,0.7918779786483614,0.0042384999978821725,-0.18028762598178835
8,4,Simulated Annealing,,49,,True,N_scaling,100.0,0.0,0.0,2.6756217372733313,0.7918779786483614,0.01894690000335686,-0.18028762598178835
8,4,Standard QAOA,3.0,49,0.0,True,N_scaling,95.92790922484761,0.0,0.0,2.6756217372733313,0.7918779786483614,0.3305858000094304,-0.18028762598178835
8,4,XY-QAOA,3.0,49,,True,N_scaling,100.0,26.905119940971705,26.905119940971705,1.824258571507217,0.583286105493342,0.31578069999522995,-0.13178102397265773
8,4,XY-QAOA Regularized,3.0,49,0.0,True,N_scaling,100.00000000000007,0.0,0.0,2.6756217372733313,0.7918779786483614,0.32783580000977963,-0.18028762598178835
